time,steer,accel,brake,gear,speedX,speedY,speedZ,trackPos,angle,rpm,damage,wheelSpin_0,wheelSpin_1,wheelSpin_2,wheelSpin_3,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
8.820,0.0173,1.0000,0.0000,6,208.78,-1.10,-0.88,0.3615,0.0551,13044.3,0.0,191.75,191.36,188.21,188.21,5.74317,14.0345,24.9255,57.183,197.125,190.547,185.818,180.149,173.181,148.263,128.022,112.651,96.4514,82.8503,65.5537,46.3165,31.2398,21.6584,10.9651
8.839,0.0156,1.0000,0.0000,6,209.21,-1.00,-0.92,0.3489,0.0535,13070.5,0.0,192.13,191.78,188.59,188.59,5.84586,14.2283,25.1482,56.8969,196.102,189.668,185.087,179.708,173.675,151.479,130.241,114.234,97.4748,83.4913,65.8223,46.3193,31.1424,21.546,10.8797
8.864,0.0140,1.0000,0.0000,6,209.64,-0.91,-0.96,0.3366,0.0519,13096.7,0.0,192.52,192.19,188.97,188.97,5.94537,14.418,25.3733,56.7054,195.042,188.735,184.282,179.137,173.679,154.519,132.308,115.688,98.3965,84.0539,66.0407,46.2986,31.0367,21.4318,10.796
8.882,0.0126,1.0000,0.0000,6,210.08,-0.82,-0.99,0.3248,0.0505,13121.7,0.0,192.91,192.61,189.33,189.33,6.04215,14.6045,25.6019,56.5982,193.947,187.754,183.411,178.459,173.406,157.364,134.212,117.007,99.2132,84.5367,66.2088,46.2545,30.9227,21.3155,10.7138
8.907,0.0114,1.0000,0.0000,6,210.51,-0.74,-1.02,0.3133,0.0493,13146.9,0.0,193.29,193.02,189.69,189.69,6.13633,14.788,25.8329,56.5612,192.822,186.73,182.484,177.696,172.945,160.013,135.956,118.194,99.9305,84.9448,66.3307,46.1894,30.8015,21.1976,10.6331
8.925,0.0102,1.0000,0.0000,6,210.95,-0.68,-1.03,0.3021,0.0481,13171.8,0.0,193.68,193.44,190.05,190.05,6.22843,14.9702,26.0703,56.6021,191.666,185.662,181.501,176.85,172.333,162.391,137.487,119.214,100.523,85.261,66.3962,46.0986,30.6709,21.0769,10.5535
8.951,0.0092,1.0000,0.0000,6,211.38,-0.61,-1.04,0.2912,0.0471,13196.9,0.0,194.06,193.85,190.41,190.41,6.31875,15.1522,26.3168,56.7269,190.477,184.55,180.462,175.926,171.592,163.773,138.756,120.03,100.967,85.4692,66.3968,45.9782,30.5293,20.9527,10.4746
8.970,0.0083,1.0000,0.0000,6,211.81,-0.54,-1.05,0.2806,0.0463,13222.2,0.0,194.45,194.26,190.78,190.78,6.4075,15.3338,26.5695,56.9136,189.262,183.404,179.379,174.941,170.756,163.828,139.81,120.681,101.291,85.5911,66.3457,45.8348,30.3794,20.8259,10.3966
8.989,0.0075,1.0000,0.0000,6,212.20,-0.49,-1.07,0.2711,0.0455,13249.2,0.0,194.80,194.63,191.17,191.17,6.48685,15.4979,26.8023,57.1217,188.14,182.337,178.364,174.005,169.936,163.519,140.619,121.158,101.505,85.6434,66.2648,45.6893,30.2379,20.7094,10.3264
9.014,0.0067,1.0000,0.0000,6,212.59,-0.45,-1.08,0.2618,0.0449,13272.5,0.0,195.15,195.00,191.50,191.50,6.56513,15.6614,27.0385,57.3653,187.001,181.249,177.323,173.034,169.064,163.019,141.284,121.526,101.64,85.6397,66.1509,45.5296,30.0914,20.5914,10.2567
9.032,0.0060,1.0000,0.0000,6,212.98,-0.40,-1.10,0.2526,0.0443,13295.3,0.0,195.50,195.36,191.84,191.84,6.64231,15.8234,27.2749,57.6265,185.851,180.146,176.264,172.04,168.158,162.408,141.861,121.827,101.727,85.6026,66.0179,45.3619,29.9425,20.4731,10.1878
9.051,0.0054,1.0000,0.0000,6,213.37,-0.37,-1.10,0.2436,0.0437,13317.9,0.0,195.85,195.72,192.16,192.16,6.71858,15.9845,27.5122,57.9071,184.689,179.029,175.187,171.022,167.221,161.711,142.344,122.057,101.765,85.5297,65.8641,45.1854,29.7908,20.3542,10.1194
9.070,0.0049,1.0000,0.0000,6,213.75,-0.33,-1.12,0.2346,0.0432,13340.6,0.0,196.20,196.09,192.49,192.49,6.79425,16.1468,27.7567,58.2329,183.51,177.889,174.083,169.97,166.236,160.917,142.634,122.143,101.702,85.3863,65.6693,44.9908,29.6324,20.233,10.0513
9.089,0.0044,1.0000,0.0000,6,214.14,-0.30,-1.14,0.2258,0.0428,13363.7,0.0,196.55,196.45,192.82,192.82,6.86935,16.3096,28.006,58.5914,182.316,176.731,172.957,168.89,165.216,160.053,142.773,122.118,101.562,85.1891,65.4435,44.7827,29.4689,20.11,9.98338
9.114,0.0040,1.0000,0.0000,6,214.52,-0.27,-1.17,0.2171,0.0424,13393.0,0.0,196.90,196.81,193.24,193.24,6.94392,16.4727,28.259,58.9753,181.111,175.558,171.814,167.789,164.167,159.136,142.788,122.002,101.359,84.948,65.1925,44.5637,29.3016,19.9859,9.91574
9.132,0.0036,1.0000,0.0000,6,214.91,-0.24,-1.22,0.2085,0.0421,13417.5,0.0,197.25,197.16,193.60,193.60,7.01792,16.6352,28.5126,59.3705,179.898,174.376,170.66,166.674,163.101,158.188,142.733,121.836,101.121,84.6827,64.9279,44.3392,29.1325,19.8614,9.84847
9.151,0.0032,1.0000,0.0000,6,215.29,-0.22,-1.25,0.1999,0.0418,13438.8,0.0,197.60,197.52,193.91,193.91,7.09123,16.7961,28.7633,59.76,178.682,173.189,169.501,165.554,162.029,157.227,142.674,121.665,100.881,84.4161,64.6631,44.1154,28.9643,19.7378,9.78173
9.170,0.0029,1.0000,0.0000,6,215.68,-0.20,-1.26,0.1914,0.0414,13460.4,0.0,197.95,197.88,194.22,194.22,7.16416,16.957,29.0162,60.1656,177.456,171.993,168.33,164.419,160.938,156.234,142.529,121.432,100.598,84.1199,64.3816,43.8844,28.7936,19.6134,9.71519
9.189,0.0026,1.0000,0.0000,6,216.07,-0.18,-1.29,0.1830,0.0412,13481.9,0.0,198.30,198.24,194.53,194.53,7.23684,17.1187,29.2728,60.5929,176.221,170.784,167.146,163.268,159.826,155.208,142.279,121.122,100.263,83.7872,64.0792,43.6443,28.6196,19.4878,9.64875
9.214,0.0023,1.0000,0.0000,6,216.45,-0.17,-1.32,0.1746,0.0409,13504.1,0.0,198.65,198.59,194.85,194.85,7.3092,17.2802,29.5305,61.0295,174.98,169.568,165.952,162.106,158.701,154.162,141.972,120.771,99.8994,83.4353,63.766,43.3998,28.444,19.3618,9.58249
9.232,0.0021,1.0000,0.0000,6,216.83,-0.15,-1.35,0.1662,0.0407,13529.8,0.0,199.00,198.95,195.20,195.20,7.38137,17.4427,29.7925,61.4892,173.729,168.339,164.745,160.927,157.557,153.087,141.555,120.341,99.4821,83.0463,63.4317,43.1461,28.265,19.2345,9.51628
9.251,0.0019,1.0000,0.0000,6,217.20,-0.14,-1.42,0.1579,0.0405,13560.8,0.0,199.34,199.30,195.67,195.67,7.45343,17.6059,30.0577,61.9663,172.47,167.102,163.527,159.736,156.397,151.988,141.055,119.851,99.0242,82.6292,63.0814,42.8855,28.0834,19.1063,9.45009
9.270,0.0017,1.0000,0.0000,6,217.59,-0.12,-1.46,0.1497,0.0404,13580.6,0.0,199.69,199.65,195.95,195.95,7.52517,17.7685,30.3223,62.444,171.206,165.86,162.305,158.54,155.231,150.882,140.535,119.347,98.5567,82.206,62.7279,42.6238,27.9017,18.9783,9.38413
9.289,0.0015,1.0000,0.0000,6,217.97,-0.11,-1.49,0.1414,0.0402,13601.2,0.0,200.04,200.00,196.25,196.25,7.59659,17.9303,30.5852,62.9174,169.941,164.616,161.08,157.342,154.062,149.771,140.015,118.843,98.0897,81.7831,62.375,42.3627,27.7205,18.8507,9.31843
9.314,0.0014,1.0000,0.0000,6,218.35,-0.10,-1.51,0.1332,0.0400,13621.7,0.0,200.39,200.35,196.55,196.55,7.66771,18.0911,30.8462,63.3855,168.673,163.369,159.853,156.141,152.892,148.658,139.499,118.342,97.625,81.3623,62.0236,42.1027,27.54,18.7235,9.25297
9.332,0.0012,1.0000,0.0000,6,218.73,-0.10,-1.55,0.1251,0.0399,13643.0,0.0,200.73,200.70,196.85,196.85,7.73897,18.2538,31.1132,63.8807,167.395,162.111,158.613,154.925,151.702,147.519,138.87,117.759,97.1051,80.903,61.6501,41.8327,27.3554,18.5947,9.18729
9.351,0.0011,1.0000,0.0000,6,219.11,-0.08,-1.58,0.1169,0.0398,13665.1,0.0,201.08,201.05,197.17,197.17,7.81039,18.4185,31.3869,64.4063,166.106,160.84,157.358,153.692,150.492,146.352,138.118,117.088,96.5252,80.4025,61.253,41.5521,27.1666,18.4641,9.12141
9.370,0.0010,1.0000,0.0000,6,219.47,-0.07,-1.67,0.1088,0.0397,13702.6,0.0,201.41,201.40,197.71,197.71,7.88171,18.5833,31.6612,64.9362,164.814,159.565,156.099,152.454,149.277,145.178,137.312,116.4,95.9337,79.8941,60.8514,41.2697,26.9771,18.3333,9.05559
9.389,0.0009,1.0000,0.0000,6,219.85,-0.06,-1.74,0.1006,0.0396,13721.5,0.0,201.76,201.74,197.99,197.99,7.95296,18.7479,31.9351,65.4645,163.519,158.288,154.838,151.213,148.06,144.001,136.44,115.71,95.3413,79.3852,60.4495,40.9873,26.7878,18.2026,8.98982
9.414,0.0008,1.0000,0.0000,6,220.23,-0.06,-1.77,0.0925,0.0396,13740.7,0.0,202.11,202.09,198.26,198.26,8.02406,18.9119,32.2079,65.9893,162.221,157.008,153.574,149.971,146.841,142.823,135.527,115.024,94.7514,78.878,60.049,40.7056,26.5988,18.0721,8.92416
9.432,0.0007,1.0000,0.0000,6,220.61,-0.05,-1.80,0.0844,0.0395,13760.3,0.0,202.46,202.44,198.55,198.55,8.09506,19.0756,32.4797,66.5108,160.921,155.726,152.309,148.727,145.62,141.644,134.585,114.34,94.1635,78.3723,59.6493,40.4244,26.4101,17.9418,8.85858
9.451,0.0007,1.0000,0.0000,6,220.99,-0.05,-1.85,0.0763,0.0394,13780.7,0.0,202.80,202.78,198.84,198.84,8.16606,19.2394,32.7517,67.0329,159.618,154.441,151.04,147.48,144.396,140.46,133.613,113.651,93.5712,77.8636,59.2479,40.1424,26.221,17.8114,8.79297
9.470,0.0006,1.0000,0.0000,6,221.37,-0.04,-1.89,0.0682,0.0393,13802.1,0.0,203.14,203.12,199.15,199.15,8.23696,19.4029,33.0233,67.5548,158.312,153.153,149.769,146.23,143.169,139.274,132.618,112.956,92.976,77.3529,58.8454,39.86,26.032,17.681,8.72743
9.489,0.0005,1.0000,0.0000,6,221.72,-0.04,-2.00,0.0601,0.0392,13842.7,0.0,203.48,203.46,199.73,199.73,8.30774,19.5658,33.2934,68.0707,157.004,151.864,148.496,144.979,141.942,138.087,131.614,112.271,92.3871,76.8468,58.4457,39.579,25.8435,17.5509,8.66199
9.514,0.0005,1.0000,0.0000,6,222.10,-0.04,-2.08,0.0520,0.0391,13861.2,0.0,203.82,203.80,200.00,200.00,8.37843,19.7283,33.5622,68.5816,155.694,150.573,147.223,143.727,140.714,136.9,130.6,111.593,91.803,76.3439,58.0478,39.2989,25.6554,17.421,8.59659
9.533,0.0004,1.0000,0.0000,6,222.47,-0.04,-2.13,0.0439,0.0391,13878.8,0.0,204.17,204.16,200.26,200.26,8.4494,19.8929,33.8376,69.1201,154.375,149.272,145.937,142.462,139.471,135.693,129.531,110.845,91.1714,75.8082,57.6311,39.0101,25.4638,17.2896,8.53094
9.551,0.0004,1.0000,0.0000,6,222.85,-0.04,-2.15,0.0358,0.0391,13897.4,0.0,204.51,204.51,200.53,200.53,8.5208,20.0604,34.1213,69.6939,153.046,147.959,144.638,141.181,138.209,134.462,128.404,110.012,90.4823,75.2327,57.1913,38.7109,25.2677,17.1561,8.46491
9.570,0.0004,1.0000,0.0000,6,223.22,-0.03,-2.17,0.0277,0.0391,13916.5,0.0,204.85,204.85,200.80,200.80,8.59238,20.2291,34.4085,70.2822,151.711,146.639,143.333,139.893,136.938,133.22,127.255,109.145,89.7704,74.6414,56.7424,38.4075,25.0699,17.0219,8.39872
